id	plot	latin_name	priority	sited	bed	quantity	cultivar	notes
2957	Throup Stream	Rubus ursinus		FALSE				
2958	Throup Stream	Sambucus racemosa		FALSE				
2959	Throup Stream	Tellima grandiflora		FALSE				
2960	Throup Stream	Thuja plicata		FALSE				
2961	Throup Stream	Typha latifolia		0				
2962	Throup Stream	Urtica dioica		FALSE				
2963	6411 Sooke Rd.	Pisum sativum		FALSE		0		
2964	6411 Sooke Rd.	Allium sativum		FALSE	65	88		
2965	6411 Sooke Rd.	Allium sativum		FALSE	12	12		
2966	6411 Sooke Rd.	Zea mays		FALSE	14	0		
2992	6411 Sooke Rd.	Ugni molinae		FALSE	63	1		
2993	6411 Sooke Rd.	Vicia faba major		FALSE	12	0		
2994	Sooke Family resources Society	Foeniculum vulgare		FALSE		2		
2995	Sooke Family resources Society	Calendula officinalis		FALSE		3		
2996	Sooke Family resources Society	Borago officinalis		FALSE		3		
2997	Sooke Family resources Society	Rosmarinus officinalis		FALSE		1		
2998	Sooke Family resources Society	Brassica napus		FALSE		1		
2999	Sooke Family resources Society	Hypericum perforatum		FALSE		1		
3000	Sooke Family resources Society	Rubus fruticosus		FALSE		1		
3001	Sooke Family resources Society	Daucus carota		FALSE		1		
3002	Sooke Family resources Society	Origanum vulgare		FALSE		3		
3003	Sooke Family resources Society	Petroselinum crispum		FALSE		2		
3004	Sooke Family resources Society	Thymus vulgaris		FALSE		1		
3005	Larkspur 6941	Petroselinum crispum		FALSE	17	4		
3006	Larkspur 6941	Cardamine hirsuta		FALSE				
3007	Larkspur 6941	Allium acuminatum		FALSE				
3008	Larkspur 6941	Allium ampeloprasum		FALSE				
3009	Larkspur 6941	Allium amplectens		FALSE				
3010	Larkspur 6941	Allium cepa		FALSE				
3011	Larkspur 6941	Allium cepa proliferum		FALSE				
3012	Larkspur 6941	Allium cernuum		FALSE				
3013	Larkspur 6941	Allium porrum		FALSE				
3014	Larkspur 6941	Allium sativum		FALSE				
3015	Larkspur 6941	Allium schoenoprasum		FALSE				
3016	Larkspur 6941	Allium senescens		FALSE				
3017	Sooke Family resources Society	Fragaria x ananassa		FALSE				
