id	latin_name	initials	cultivar	icon_url
142	Lycium barbarum	Lb	.	../Drawing/Icons/Plants/Plants/Lycium_barbarum(Lb).svg
143	Lycium chinense	Lc	.	../Drawing/Icons/Plants/Plants/Lycium_chinense(Lc).svg
144	Lycopersicon esculentum	Le	.	../Drawing/Icons/Plants/Plants/Lycopersicon_esculentum(Le).svg
145	Lysichiton americanus	La	.	../Drawing/Icons/Plants/Plants/Lysichiton_americanus(La).svg
146	Mahonia aquifolium	Ma	.	../Drawing/Icons/Plants/Plants/Mahonia_aquifolium(Ma).svg
147	Mahonia nervosa	Mn	.	../Drawing/Icons/Plants/Plants/Mahonia_nervosa(Mn).svg
148	Mahonia x media	Mxm	.	../Drawing/Icons/Plants/Plants/Mahonia_x_media(Mxm).svg
149	Malus domestica	Md	.	../Drawing/Icons/Plants/Plants/Malus_domestica(Md).svg
150	Malus fusca	Mf	.	../Drawing/Icons/Plants/Plants/Malus_fusca(Mf).svg
151	Malva sylvestris	Ms	.	../Drawing/Icons/Plants/Plants/Malva_sylvestris(Ms).svg
152	Matricaria recutita	Mr	.	../Drawing/Icons/Plants/Plants/Matricaria_recutita(Mr).svg
153	Medicago sativa	Ms	.	../Drawing/Icons/Plants/Plants/Medicago_sativa(Ms).svg
154	Melissa officinalis	Mo	.	../Drawing/Icons/Plants/Plants/Melissa_officinalis(Mo).svg
155	Mentha spicata	Ms	.	../Drawing/Icons/Plants/Plants/Mentha_spicata(Ms).svg
156	Mentha x piperita vulgaris	Mxp	.	../Drawing/Icons/Plants/Plants/Mentha_x_piperita_vulgaris(Mxp).svg
157	Mespilus germanica	Mg	.	../Drawing/Icons/Plants/Plants/Mespilus_germanica(Mg).svg
158	Micromeria juliana	Mj	.	../Drawing/Icons/Plants/Plants/Micromeria_juliana(Mj).svg
159	Monarda didyma	Md	.	../Drawing/Icons/Plants/Plants/Monarda_didyma(Md).svg
160	Morus alba	Ma	.	../Drawing/Icons/Plants/Plants/Morus_alba(Ma).svg
161	Morus nigra	Mn	.	../Drawing/Icons/Plants/Plants/Morus_nigra(Mn).svg
162	Myrica californica	Mca	.	../Drawing/Icons/Plants/Plants/Myrica_californica(Mca).svg
163	Myrtus communis	Mco	.	../Drawing/Icons/Plants/Plants/Myrtus_communis(Mco).svg
