ID	Latin Name	Common Name	Part of plant	Dry or Fresh weight	Water	Calories	Protein	Fat	Carbohydrate	Fibre	Ash	Calcium	Phosphorus	Iron	Magnesium	Sodium	Potassium	Zinc	VitaminA	Thiamine	Riboflavin	Niacin	VitaminC	VitaminB6	Source	Notes
135	Thymus vulgaris	Thyme	Leaves	D	7.8	276	9.1	7.4	63.9	18.6	11.7	1890	201	123.6	220	55	814	6.2	3800	0.51	0.4	4.94			218	
136	Tribulus terrestris		Leaves	F	79.09		7.22				4.6	1600	80	9.22									41		218	
137	Trichosanthes ovigera	Japanese snake gourd	Fruit	D	0	316	15.8	0	78.9	8.8	5.3	333	596	17.5			2159		14210	0.7	0.9	12.3	105		218	
138	Trichosanthes ovigera	Japanese snake gourd	Seed	F			33.8	56.3																	218	The report did not specify if this was the fresh or dry weight.
139	Trifolium pratense	Red clover	Leaves	F	81		4	0.7		2.6	2														218	
140	Trigonella foenum-graecum	Fenugreek	Seed	F	6.2		23.2	8	10	9.8	4.3														218	
141	Triticum aestivum	Bread wheat	Seed	F	13	340	11.7	2.2	72	2	1.7	40	377	3.5			400			0.55	0.11	4.8			218	The figures given here are the median of a range given in the report.
142	Vaccaria hispanica		Seed	D			15	2.5																	218	The report does not make it clear whether this is a zero moisture basis.
143	Vallisneria spiralis	Eel grass	Leaves	D	0						14.1	1154	3205	141											218	
144	Zea mays	Sweet corn	Seed	F	10.6	361	9.4	4.3	74.4	1.8	1.3	9	290	2.5					140	0.43	0.1	1.9	0		218	
145	Ziziphus jujuba	Jujube	Fruit	D	0	350	7.3	1.2	84	4	3	130	168	3.5		12	1050		125	0.1	0.18	2.8	300		218	The figures given here are the median of a range given in the report.
146	Ziziphus jujuba	Jujube	Leaves	D	0	337	11.8	4.3	75.3	14.3	8.6	1970	230						200						218	
147	Papaver somniferum	Opium Poppy	Seed	F	6.8	533	18	44.7	23.7	6.3	6.8	1448	848	9.4	2.3	21	700			0.95	0.17	0.98			269	
148	Phaseolus vulgaris	French Bean	Pod	F	91	30	1.8	0.2	6.5	1	0.7														269	
149	Phaseolus vulgaris	French Bean	Seed	D	10	345	22.5	1.5	62	4.3	3.8	86	247	6.6	183	43.2	1160		5	0.54	0.19	2.1	3		269	These are average figures from three different varieties of beans.
150	Phaseolus vulgaris	French Bean	Leaves	F	86.8	36	3.6	0.4	6.6	2.8	2.6	2.74	75	9.2					3230	0.18	0.06	1.3	110		269	
151	Pueraria montana lobata	Kudzu Vine	Root	F	68.6	113	2.1	0.1	27.8	0.7	1.4	15	18	0.6											269	
152	Solanum tuberosum	Potato	Root	F	79	80	2.4	0.1	18	0.5	1.3	10	51	0.8		5	401		20	0.9	0.03	1.5	20		269	These figures are the mean obtained from a range of readings.
153	Sorghum bicolor	Sorghum	Seed	D	12	342	10	3.7	72.7	2.2	1.5	22	242	3.8		8	44		0	0.33	0.18	3.9	0		269	
