id	latin_name	initials	cultivar	icon_url
202	Prunus persica espalier	Ppe	.	../Drawing/Icons/Plants/Plants/Prunus_persica_espalier(Ppe).svg
203	Prunus persica nucipersica	Ppn	.	../Drawing/Icons/Plants/Plants/Prunus_persica_nucipersica(Ppn).svg
204	Prunus persica nucipersica espalier	Pne	.	../Drawing/Icons/Plants/Plants/Prunus_persica_nucipersica_espalier(Pne).svg
205	Pseudotsuga menziesii	Pm	.	../Drawing/Icons/Plants/Plants/Pseudotsuga_menziesii(Pm).svg
206	Pyrola minor	Pm	.	../Drawing/Icons/Plants/Plants/Pyrola_minor(Pm).svg
207	Pyrus communis sativa	Pcs	.	../Drawing/Icons/Plants/Plants/Pyrus_communis_sativa(Pcs).svg
208	Pyrus pyrifoila	Pp	.	../Drawing/Icons/Plants/Plants/Pyrus_pyrifoila(Pp).svg
209	Pyrus pyrifoila culta	Ppc	.	../Drawing/Icons/Plants/Plants/Pyrus_pyrifoila_culta(Ppc).svg
210	Quercus macrocarpa	Qm	.	../Drawing/Icons/Plants/Plants/Quercus_macrocarpa(Qm).svg
211	Quercus robur	Qr	.	../Drawing/Icons/Plants/Plants/Quercus_robur(Qr).svg
212	Raphanus sativus	Rs	.	../Drawing/Icons/Plants/Plants/Raphanus_sativus(Rs).svg
213	Rheum palmatum	Rp	.	../Drawing/Icons/Plants/Plants/Rheum_palmatum(Rp).svg
214	Rheum rhaponticum	Rr	.	../Drawing/Icons/Plants/Plants/Rheum_rhaponticum(Rr).svg
215	Rhus aromatica	Ra	.	../Drawing/Icons/Plants/Plants/Rhus_aromatica(Ra).svg
216	Rhus typhina	Rt	.	../Drawing/Icons/Plants/Plants/Rhus_typhina(Rt).svg
217	Ribes nigrum	Rn	.	../Drawing/Icons/Plants/Plants/Ribes_nigrum(Rn).svg
218	Ribes odoratum	Ro	.	../Drawing/Icons/Plants/Plants/Ribes_odoratum(Ro).svg
219	Ribes rubrum	Rr	.	../Drawing/Icons/Plants/Plants/Ribes_rubrum(Rr).svg
220	Ribes uva-crispa	Ru	.	../Drawing/Icons/Plants/Plants/Ribes_uva-crispa(Ru).svg
221	Ribes x culverwellii	Rxc	.	../Drawing/Icons/Plants/Plants/Ribes_x_culverwellii(Rxc).svg
222	Rosa nutkana	Rno	.	../Drawing/Icons/Plants/Plants/Rosa_nutkana(Rno).svg
223	Rosa rugosa	Rr	.	../Drawing/Icons/Plants/Plants/Rosa_rugosa(Rr).svg
224	Rosmarinus officinalis	Rof	.	../Drawing/Icons/Plants/Plants/Rosmarinus_officinalis(Rof).svg
225	Rubus arcticus	Rar	.	../Drawing/Icons/Plants/Plants/Rubus_arcticus(Rar).svg
226	Rubus frutucosus	Rf	.	../Drawing/Icons/Plants/Plants/Rubus_frutucosus(Rf).svg
227	Rubus idaeus	Ri	.	../Drawing/Icons/Plants/Plants/Rubus_idaeus(Ri).svg
228	Rubus leucodermis	Rl	.	../Drawing/Icons/Plants/Plants/Rubus_leucodermis(Rl).svg
229	Rubus occidentalis	Ro	.	../Drawing/Icons/Plants/Plants/Rubus_occidentalis(Ro).svg
230	Rubus procerus	Rp	.	../Drawing/Icons/Plants/Plants/Rubus_procerus(Rp).svg
231	Rubus ursinus	Ru	.	../Drawing/Icons/Plants/Plants/Rubus_ursinus(Ru).svg
232	Rumex acetosa	Rac	.	../Drawing/Icons/Plants/Plants/Rumex_acetosa(Rac).svg
233	Ruta graveolens	Rg	.	../Drawing/Icons/Plants/Plants/Ruta_graveolens(Rg).svg
234	Sagittaria latifolia	Sl	.	../Drawing/Icons/Plants/Plants/Sagittaria_latifolia(Sl).svg
