ID	Latin name	Use
363	Allium bodeanum	Repellent
364	Allium bolanderi	Repellent
365	Allium brevistylum	Repellent
366	Allium canadense	Repellent
367	Allium canadense mobilense	Repellent
368	Allium carinatum	Repellent
369	Allium carolinianum	Repellent
370	Allium cepa	Cosmetic
371	Allium cepa	Dye
372	Allium cepa	Hair
373	Allium cepa	Polish
374	Allium cepa	Repellent
375	Allium cepa	Rust
376	Allium cepa aggregatum	Cosmetic
377	Allium cepa aggregatum	Dye
378	Allium cepa aggregatum	Hair
379	Allium cepa aggregatum	Polish
380	Allium cepa aggregatum	Repellent
381	Allium cepa aggregatum	Rust
382	Allium cepa ascalonicum	Cosmetic
383	Allium cepa ascalonicum	Dye
384	Allium cepa ascalonicum	Hair
385	Allium cepa ascalonicum	Polish
386	Allium cepa ascalonicum	Repellent
387	Allium cepa ascalonicum	Rust
388	Allium cepa proliferum	Cosmetic
389	Allium cepa proliferum	Dye
390	Allium cepa proliferum	Hair
391	Allium cepa proliferum	Polish
392	Allium cepa proliferum	Repellent
393	Allium cepa proliferum	Rust
394	Allium cernuum	Repellent
395	Allium chinense	Repellent
396	Allium condensatum	Repellent
397	Allium cupanii	Repellent
398	Allium douglasii	Repellent
399	Allium dregeanum	Repellent
400	Allium drummondii	Repellent
401	Allium fistulosum	Repellent
402	Allium flavum	Insecticide
403	Allium flavum	Repellent
404	Allium galanthum	Repellent
405	Allium geyeri	Repellent
406	Allium giganteum	Repellent
407	Allium grayi	Repellent
408	Allium hookeri	Repellent
409	Allium kunthii	Repellent
410	Allium kurrat	Repellent
411	Allium ledebourianum	Repellent
412	Allium macleanii	Repellent
413	Allium macropetalum	Repellent
414	Allium macrostemon	Repellent
415	Allium moly	Repellent
416	Allium monanthum	Repellent
417	Allium mutabile	Repellent
418	Allium neapolitanum	Repellent
419	Allium obliquum	Repellent
420	Allium oleraceum	Repellent
421	Allium orientale	Repellent
422	Allium oschaninii	Repellent
423	Allium paradoxum	Repellent
424	Allium pendulinum	Repellent
425	Allium platycaule	Repellent
426	Allium porrum	Repellent
427	Allium przewalskianum	Repellent
428	Allium ramosum	Repellent
429	Allium roseum	Repellent
430	Allium rubellum	Repellent
431	Allium rubrum	Repellent
432	Allium ruhmerianum	Repellent
433	Allium sacculiferum	Repellent
434	Allium sativum	Adhesive
435	Allium sativum	Fungicide
436	Allium sativum	Repellent
437	Allium sativum ophioscorodon	Adhesive
438	Allium sativum ophioscorodon	Fungicide
439	Allium sativum ophioscorodon	Repellent
440	Allium schoenoprasum	Fungicide
441	Allium schoenoprasum	Repellent
442	Allium schoenoprasum sibiricum	Fungicide
443	Allium schoenoprasum sibiricum	Repellent
444	Allium scorodoprasum	Repellent
445	Allium scorodoprasum rotundum	Repellent
446	Allium semenovii	Repellent
447	Allium senescens	Repellent
448	Allium sphaerocephalon	Repellent
449	Allium splendens	Repellent
450	Allium stellatum	Repellent
451	Allium stracheyi	Repellent
452	Allium suaveolens	Repellent
453	Allium subhirsutum	Repellent
454	Allium textile	Repellent
455	Allium thunbergii	Repellent
456	Allium tricoccum	Repellent
457	Allium triquetrum	Repellent
458	Allium tuberosum	Repellent
459	Allium unifolium	Repellent
460	Allium ursinum	Disinfectant
461	Allium ursinum	Repellent
462	Allium validum	Repellent
463	Allium victorialis	Repellent
464	Allium vineale	Repellent
465	Allium wallichii	Repellent
466	Alnus cordata	Pioneer
467	Alnus cordata	Shelterbelt
468	Alnus glutinosa	Charcoal
469	Alnus glutinosa	Dye
470	Alnus glutinosa	Hedge
471	Alnus glutinosa	Ink
472	Alnus glutinosa	Insecticide
473	Alnus glutinosa	Pioneer
474	Alnus glutinosa	Shelterbelt
475	Alnus glutinosa	Soil reclamation
476	Alnus glutinosa	Tannin
477	Alnus glutinosa	Teeth
478	Alnus glutinosa	Wood
479	Alnus hirsuta	Charcoal
480	Alnus hirsuta	Dye
481	Alnus hirsuta	Wood
482	Alnus incana	Pioneer
483	Alnus incana	Soil reclamation
484	Alnus incana	Tannin
485	Alnus incana	Wood
486	Alnus japonica	Charcoal
487	Alnus japonica	Dye
488	Alnus japonica	Wood
489	Alnus maritima	Biomass
490	Alnus maritima	Wood
491	Alnus maximowiczii	Charcoal
492	Alnus maximowiczii	Dye
493	Alnus maximowiczii	Wood
494	Alnus nepalensis	Dye
495	Alnus nepalensis	Fuel
496	Alnus nepalensis	Soil stabilization
497	Alnus nepalensis	Wood
498	Alnus nitida	Dye
499	Alnus nitida	Wood
500	Alnus rhombifolia	Baby care
501	Alnus rhombifolia	Basketry
502	Alnus rhombifolia	Dye
503	Alnus rhombifolia	Fuel
504	Alnus rhombifolia	Tannin
505	Alnus rhombifolia	Wood
506	Alnus rubra	Charcoal
507	Alnus rubra	Dye
508	Alnus rubra	Fuel
509	Alnus rubra	Pioneer
510	Alnus rubra	Shelterbelt
511	Alnus rubra	Soil stabilization
512	Alnus rubra	Tannin
513	Alnus rubra	Wood
514	Alnus rugosa	Dye
515	Alnus rugosa	Pioneer
516	Alnus rugosa	Soil stabilization
517	Alnus rugosa	Wood
518	Alnus serrulata	Soil stabilization
519	Alnus sinuata	Fuel
520	Alnus sinuata	Pioneer
521	Alnus sinuata	Soil stabilization
522	Alnus sinuata	Tannin
523	Alnus sinuata	Wood
524	Alnus tenuifolia	Pioneer
525	Alnus tenuifolia	Soil stabilization
526	Alnus tenuifolia	Tannin
527	Alnus tenuifolia	Wood
528	Alnus viridis crispa	Dye
529	Alnus viridis crispa	Teeth
530	Aloe vera	Cosmetic
531	Aloe vera	Pollution
532	Aloysia triphylla	Essential
533	Aloysia triphylla	Insecticide
534	Aloysia triphylla	Pot-pourri
535	Aloysia triphylla	Repellent
536	Althaea cannabina	Fibre
537	Althaea officinalis	Adhesive
538	Althaea officinalis	Fibre
539	Althaea officinalis	Oil
540	Althaea officinalis	Teeth
541	Amaranthus albus	Dye
542	Amaranthus bidentata	Dye
543	Amaranthus blitoides	Adhesive
544	Amaranthus blitoides	Dye
545	Amaranthus blitum	Dye
546	Amaranthus campestris	Dye
547	Amaranthus caudatus	Dye
548	Amaranthus cruentus	Dye
549	Amaranthus diacanthus	Dye
550	Amaranthus dubius	Dye
551	Amaranthus frumentaceus	Dye
552	Amaranthus graecizans	Dye
553	Amaranthus hybridus	Dye
554	Amaranthus hypochondriacus	Dye
555	Amaranthus mangostanus	Dye
556	Amaranthus mitchellii	Dye
557	Amaranthus pallidiflorus	Dye
558	Amaranthus palmeri	Dye
559	Amaranthus polygamus	Dye
560	Amaranthus polystachyus	Dye
561	Amaranthus powellii	Dye
562	Amaranthus quitensis	Dye
563	Amaranthus retroflexus	Dye
564	Amaranthus spinosus	Dye
565	Amaranthus standleyanus	Dye
566	Amaranthus tenuifolius	Dye
567	Amaranthus thunbergii	Dye
568	Amaranthus torreyi	Dye
569	Amaranthus tricolor	Dye
570	Amaranthus viridis	Dye
571	Ambrosia trifida	Dye
572	Amelanchier alnifolia	Shelterbelt
573	Amelanchier alnifolia	Soil stabilization
574	Amelanchier alnifolia semiintegrifolia	Wood
575	Amelanchier arborea	Soil stabilization
576	Amelanchier canadensis	Hedge
577	Amelanchier canadensis	Rootstock
578	Amelanchier canadensis	Shelterbelt
579	Amelanchier canadensis	Wood
580	Amelanchier laevis	Wood
581	Amelanchier ovalis	Wood
582	Amelanchier utahensis	Wood
583	Ammi majus	Weather protection
584	Ammi visnaga	Teeth
585	Ammophila arenaria	Basketry
586	Ammophila arenaria	Broom
587	Ammophila arenaria	Fibre
588	Ammophila arenaria	Paper
589	Ammophila arenaria	Soil stabilization
590	Ammophila arenaria	Thatching
591	Ammophila arenaria	Weaving
592	Ammophila breviligulata	Soil stabilization
593	Amorpha canescens	Insecticide
594	Amorpha canescens	Oil
595	Amorpha canescens	Repellent
596	Amorpha canescens	Shelterbelt
597	Amorpha canescens	Soil stabilization
598	Amorpha fruticosa	Bedding
599	Amorpha fruticosa	Dye
600	Amorpha fruticosa	Insecticide
601	Amorpha fruticosa	Oil
602	Amorpha fruticosa	Repellent
603	Amorpha fruticosa	Shelterbelt
604	Amorpha fruticosa	Soil stabilization
605	Amorpha nana	Insecticide
606	Amorpha nana	Soil stabilization
607	Amorphophallus rivieri	Insecticide
608	Ampelodesmos mauritanicus	Fibre
609	Ampelodesmos mauritanicus	Paper
610	Anaphalis margaritacea	Dye
611	Anaphalis margaritacea	Incense
612	Anchusa azurea	Dye
613	Anchusa officinalis	Dye
614	Andromeda polifolia	Tannin
615	Androsace sarmentosa	Ground cover
616	Anemarrhena asphodeloides	Soap
617	Anemone vitifolia	Insecticide
618	Anemone vitifolia	Tinder
619	Anemopsis californica	Beads
620	Anethum graveolens	Essential
621	Anethum graveolens	Insecticide
622	Angelica archangelica	Essential
623	Angelica genuflexa	Containers
624	Angelica genuflexa	Deodorant
625	Angelica genuflexa	Musical
626	Angelica genuflexa	Straw
627	Angelica glauca	Essential
628	Angelica sylvestris	Dye
629	Angelica sylvestris	Parasiticide
630	Angophora cordifolia	Gum
631	Angophora cordifolia	Preservative
632	Angophora cordifolia	Wood
633	Angophora floribunda	Gum
634	Angophora floribunda	Preservative
635	Antennaria dioica	Ground cover
636	Anthemis cotula	Dye
637	Anthemis cotula	Repellent
638	Anthemis tinctoria	Dye
639	Anthoxanthum odoratum	Basketry
640	Anthoxanthum odoratum	Pot-pourri
641	Anthoxanthum odoratum	Strewing
642	Anthriscus cerefolium	Repellent
643	Anthriscus sylvestris	Dye
644	Antirrhinum majus	Dye
645	Aphananthe aspera	Paper
646	Aphananthe aspera	Sandpaper
647	Apios americana	Latex
648	Apium australe	Waterproofing
649	Apium graveolens	Essential
650	Apium graveolens dulce	Repellent
651	Apium graveolens secalinum	Repellent
652	Apium prostratum	Waterproofing
653	Aplectrum hyemale	Adhesive
654	Apocynum androsaemifolium	Fibre
655	Apocynum androsaemifolium	Latex
656	Apocynum cannabinum	Fibre
657	Apocynum cannabinum	Latex
658	Apocynum venetum	Fibre
659	Aquilegia brevistyla	Parasiticide
660	Aquilegia buergeriana	Parasiticide
661	Aquilegia caerulea	Parasiticide
662	Aquilegia canadensis	Essential
663	Aquilegia canadensis	Parasiticide
664	Aquilegia flabellata	Parasiticide
665	Aquilegia flavescens	Parasiticide
666	Aquilegia formosa	Hair
667	Aquilegia formosa	Parasiticide
668	Aquilegia formosa truncata	Parasiticide
669	Aquilegia jonesii	Parasiticide
670	Aquilegia karelinii	Ink
671	Aquilegia karelinii	Parasiticide
672	Aquilegia pubescens	Parasiticide
673	Aquilegia shockleyi	Parasiticide
674	Aquilegia vulgaris	Parasiticide
675	Arabis caucasica	Ground cover
676	Arachis hypogaea	Biomass
677	Arachis hypogaea	Oil
678	Aralia spinosa	Wood
679	Araucaria araucana	Resin
680	Araucaria araucana	Shelterbelt
681	Araucaria araucana	Wood
682	Araucaria bidwillii	Wood
683	Araujia sericifera	Fibre
684	Arbutus andrachne	Hedge
685	Arbutus andrachne	Wood
686	Arbutus arizonica	Charcoal
687	Arbutus arizonica	Wood
688	Arbutus menziesii	Charcoal
689	Arbutus menziesii	Dye
690	Arbutus menziesii	Miscellany
691	Arbutus menziesii	Tannin
692	Arbutus menziesii	Wood
693	Arbutus texana	Charcoal
694	Arbutus texana	Fuel
695	Arbutus texana	Wood
696	Arbutus unedo	Tannin
697	Arbutus unedo	Wood
698	Arbutus xalapensis	Wood
699	Arctium lappa	Hair
700	Arctium minus	Paper
701	Arctostaphylos columbiana	Dye
702	Arctostaphylos columbiana	Fuel
703	Arctostaphylos columbiana	Wood
704	Arctostaphylos glauca	Broom
705	Arctostaphylos glauca	Dye
706	Arctostaphylos glauca	Fuel
707	Arctostaphylos glauca	Wood
708	Arctostaphylos manzanita	Dye
709	Arctostaphylos manzanita	Fuel
710	Arctostaphylos manzanita	Soap
711	Arctostaphylos nevadensis	Dye
712	Arctostaphylos nevadensis	Ground cover
713	Arctostaphylos parryana	Dye
714	Arctostaphylos patula	Dye
715	Arctostaphylos pungens	Dye
716	Arctostaphylos pungens	Fuel
717	Arctostaphylos pungens	Wood
718	Arctostaphylos stanfordiana	Dye
719	Arctostaphylos tomentosa	Dye
720	Arctostaphylos tomentosa	Wood
721	Arctostaphylos uva-ursi	Beads
722	Arctostaphylos uva-ursi	Dye
723	Arctostaphylos uva-ursi	Ground cover
724	Arctostaphylos uva-ursi	Pioneer
725	Arctostaphylos uva-ursi	Soil stabilization
726	Arctostaphylos uva-ursi	Tannin
727	Arctostaphylos uva-ursi	Waterproofing
728	Ardisia japonica	Hedge
729	Argemone mexicana	Essential
730	Argemone mexicana	Oil
731	Arisaema flavum	Insecticide
732	Arisaema triphyllum	Musical
733	Arisaema triphyllum	Starch
734	Arisarum vulgare	Ground cover
735	Aristotelia serrata	Charcoal
736	Aristotelia serrata	Dye
737	Aristotelia serrata	Wood
738	Armeria maritima	Ground cover
739	Armoracia rusticana	Fungicide
740	Armoracia rusticana	Repellent
741	Arnebia euchroma	Dye
742	Arnica angustifolia alpina	Hair
743	Arnica cordifolia	Hair
744	Arnica diversifolia	Hair
745	Aronia melanocarpa	Pectin
746	Artemisia abrotanum	Dye
747	Artemisia abrotanum	Essential
748	Artemisia abrotanum	Hair
749	Artemisia abrotanum	Hedge
750	Artemisia abrotanum	Incense
751	Artemisia abrotanum	Pot-pourri
752	Artemisia abrotanum	Repellent
753	Artemisia absinthum	Repellent
754	Artemisia absinthum	Strewing
755	Artemisia annua	Essential
756	Artemisia annua	Herbicide
757	Artemisia annua	Miscellany
758	Artemisia campestris	Essential
759	Artemisia campestris glutinosa	Essential
760	Artemisia dracunculoides	Repellent
761	Artemisia dracunculus	Essential
762	Artemisia dracunculus	Repellent
763	Artemisia filifolia	Miscellany
764	Artemisia frigida	Deodorant
765	Artemisia frigida	Dye
766	Artemisia frigida	Essential
767	Artemisia frigida	Repellent
768	Artemisia indica	Essential
769	Artemisia indica	Insecticide
770	Artemisia keiskeana	Thatching
771	Artemisia ludoviciana	Deodorant
772	Artemisia ludoviciana	Ground cover
773	Artemisia ludoviciana	Repellent
774	Artemisia ludoviciana gnaphalodes	Incense
775	Artemisia ludoviciana gnaphalodes	Miscellany
776	Artemisia maritima	Repellent
777	Artemisia maritima	Strewing
778	Artemisia scoparia	Essential
779	Artemisia stelleriana	Ground cover
780	Artemisia tilesii	Incense
781	Artemisia tridentata	Basketry
782	Artemisia tridentata	Dye
783	Artemisia tridentata	Fibre
784	Artemisia tridentata	Friction sticks
785	Artemisia tridentata	Fuel
786	Artemisia tridentata	Hair
787	Artemisia tridentata	Miscellany
788	Artemisia tridentata	Paper
789	Artemisia tridentata	Repellent
