ID			Accepted Symbol			Synonym Symbol			Symbol		Scientific Name		Common Name		Genus		Family		Duration		Growth Habit		Native Status		Active Growth Period		After Harvest Regrowth Rate		Bloat		C:N Ratio		Coppice Potential		Fall Conspicuous		Fire Resistance		Flower Color		Flower Conspicuous		Foliage Color		Foliage Porosity Summer		Foliage Porosity Winter		Foliage Texture		Fruit Color		Fruit Conspicuous		Growth Form		Growth Rate		Height at Base Age, Maximum (feet)		Height, Mature (feet)		Known Allelopath		Leaf Retention		Lifespan		Low Growing Grass		Nitrogen Fixation		Resprout Ability		Shape and Orientation		Toxicity		Adapted to Coarse Textured Soils		Adapted to Medium Textured Soils		Adapted to Fine Textured Soils		Anaerobic Tolerance		CaCO<SUB>3</SUB> Tolerance		Cold Stratification Required		Drought Tolerance		Fertility Requirement	Fire Tolerance	Frost Free Days, Minimum	Hedge Tolerance	Moisture Use	pH (Minimum)	pH (Maximum)	Planting Density per Acre, Minimum	Planting Density per Acre, Maximum	Precipitation (Minimum)	Precipitation (Maximum)	Root Depth, Minimum (inches)	Salinity Tolerance	Shade Tolerance	Temperature, Minimum (°F)	Bloom Period	Commercial Availability	Fruit/Seed Abundance	Fruit/Seed Period Begin	Fruit/Seed Period End	Fruit/Seed Persistence	Propogated by Bare Root	Propogated by Bulbs	Propogated by Container	Propogated by Corms	Propogated by Cuttings	Propogated by Seed	Propogated by Sod	Propogated by Sprigs	Propogated by Tubers	Seeds per Pound	Seed Spread Rate	Seedling Vigor	Small Grain	Vegetative Spread Rate	Berry/Nut/Seed Product	Christmas Tree Product	Fodder Product	Fuelwood Product	Lumber Product	Naval Store Product	Nursery Stock Product	Palatable Browse Animal	Palatable Graze Animal	Palatable Human	Post Product	Protein Potential	Pulpwood Product	Veneer Product
282			TRAE						TRAE		Triticum aestivum		common wheat		Triticum		Poaceae		Annual		Graminoid		L48 (I), AK (I), HI (I), PR (I), CAN (W), GL (W)		Fall, Winter and Spring				None		Low		No		No		No		Yellow		No		Green		Dense		Porous		Medium		Brown		Yes		Bunch		Rapid				3.3		No		No				No		None		No		Erect		None		Yes		Yes		Yes		None		Medium		No		Medium		Medium	None	100	None	Low	5.5	8			10	100	18	Medium	Tolerant	-28	Early Spring	Routinely Available	High	Spring	Summer	No	No	No	No	No	No	Yes	No	No	No	11360	Slow	High	Yes	None	No	No	Yes		No	No	No	Medium	High	Yes	No	High	No	No
283			TRAE			TRHY5			TRHY5		Triticum hybernum				Triticum																																																																																																																														
284			TRAE			TRMA11			TRMA11		Triticum macha				Triticum																																																																																																																														
285			TRAE			TRSA5			TRSA5		Triticum sativum				Triticum																																																																																																																														
286			TRAE			TRSP5			TRSP5		Triticum sphaerococcum				Triticum																																																																																																																														
287			TRAE			TRVU			TRVU		Triticum vulgare				Triticum																																																																																																																														
288			TYAN						TYAN		Typha angustifolia		narrowleaf cattail		Typha		Typhaceae		Perennial		Forb/herb		L48 (NI), CAN (N)		Spring		Slow		None		Medium		No		No		No		Green		Yes		Green		Moderate		Porous		Coarse		White		Yes		Rhizomatous		Rapid				4.9		No		No		Long		No		None		No		Erect		None		Yes		Yes		Yes		High		Low		No		Low		Medium	High	130	None	High	3.7	8.5	2728	3700	30	60	10	Medium	Intolerant	-33	Late Spring	Routinely Available	Medium	Spring	Summer	Yes	No	No	No	No	No	Yes	No	Yes	No		Rapid	Medium	No	Rapid	No	No	No		No	No	No	Low	Low	Yes	No	Low	No	No
289			TYAN			TYANC			TYANC		Typha angustifolia var. calumetensis				Typha																																																																																																																														
290			TYAN			TYANE			TYANE		Typha angustifolia var. elongata				Typha																																																																																																																														
291			VACE						VACE		Vaccinium cespitosum		dwarf bilberry		Vaccinium		Ericaceae		Perennial		Subshrub, Shrub		L48 (N), AK (N), CAN (N)																																																																																																																						
292			VACE			VAAR2			VAAR2		Vaccinium arbuscula				Vaccinium																																																																																																																														
293			VACE			VACA13			VACA13		Vaccinium caespitosum				Vaccinium										Spring and Summer				None		High		Yes		Yes		No		Red		Yes		Green		Dense		Porous		Coarse		Black		Yes		Rhizomatous		Moderate				1		No		No		Moderate		No		None		Yes		Prostrate		None		Yes		Yes		No		None		None		No		Low		Low	High	100	High	High	5	7	1200	19000	19	69	12	None	Tolerant	-33	Early Summer	Contracting Only	High	Summer	Fall	No	Yes	No	Yes	No	Yes	Yes	No	No	No	5000000	Rapid	High	No	Moderate	No	No	No		No	No	Yes	Low	Low	Yes	No	Low	No	No
294			VACE			VACAA2			VACAA2		Vaccinium caespitosum var. arbuscula				Vaccinium																																																																																																																														
295			VACE			VACAC3			VACAC3		Vaccinium caespitosum var. caespitosum				Vaccinium																																																																																																																														
296			VACE			VACAP3			VACAP3		Vaccinium caespitosum var. paludicola				Vaccinium																																																																																																																														
297			VACE			VACEA			VACEA		Vaccinium cespitosum var. arbuscula				Vaccinium																																																																																																																														
298			VACE			VACEC			VACEC		Vaccinium cespitosum var. cespitosum				Vaccinium																																																																																																																														
299			VACE			VACEP			VACEP		Vaccinium cespitosum var. paludicola				Vaccinium																																																																																																																														
300			VACE			VANI3			VANI3		Vaccinium nivictum				Vaccinium																																																																																																																														
301			VACO						VACO		Vaccinium corymbosum		highbush blueberry		Vaccinium		Ericaceae		Perennial		Shrub		L48 (N), CAN (N)		Spring and Summer				None		Medium		No		Yes		No		White		No		Green		Dense		Moderate		Medium		Blue		Yes		Multiple Stem		Moderate		12		12		No		No		Moderate		No		None		Yes		Erect		None		Yes		Yes		Yes		Medium		Low		No		Low		Medium	High	100	Low	Medium	4.7	7.5	1200	1700	32	50	16	High	Tolerant	-33	Early Summer	Routinely Available	Medium	Summer	Summer	No	Yes	No	Yes	No	Yes	Yes	No	No	No	975000	Slow	Low	No	None	Yes	No	No		No	No	Yes	Medium	Low	Yes	No	Low	No	No
302			VACO			CYCO15			CYCO15		Cyanococcus corymbosus				Cyanococcus																																																																																																																														
303			VACO			CYCU5			CYCU5		Cyanococcus cuthbertii				Cyanococcus																																																																																																																														
304			VACO			VACO3			VACO3		Vaccinium constablaei				Vaccinium																																																																																																																														
305			VACO			VACOA2			VACOA2		Vaccinium corymbosum var. albiflorum				Vaccinium																																																																																																																														
306			VACO			VACOG			VACOG		Vaccinium corymbosum var. glabrum				Vaccinium																																																																																																																														
307			VAME						VAME		Vaccinium membranaceum		thinleaf huckleberry		Vaccinium		Ericaceae		Perennial		Shrub		L48 (N), CAN (N)		Spring and Summer				None		Medium		No		No		No		Purple		Yes		Green		Moderate		Porous		Medium		Black		Yes		Multiple Stem		Moderate		4		4.5		No		No		Long		No		None		Yes		Semi-Erect		None		Yes		Yes		No		Low		None		Yes		Low		Low	High	85	Low	Low	4.5	5.6	1700	2700	10	50	12	None	Intermediate	-38	Late Spring	Contracting Only	Medium	Spring	Summer	No	Yes	No	Yes	No	Yes	Yes	No	No	No		Slow	Low	No	Slow	Yes	No	No		No	No	No	Medium	Low	Yes	No		No	No
308			VAME			VACO6			VACO6		Vaccinium coccineum				Vaccinium																																																																																																																														
309			VAME			VAGL			VAGL		Vaccinium globulare				Vaccinium																																																																																																																														
310			VAME			VAMER			VAMER		Vaccinium membranaceum var. rigidum				Vaccinium																																																																																																																														
311			VAOV						VAOV		Vaccinium ovalifolium		oval-leaf blueberry		Vaccinium		Ericaceae		Perennial		Shrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		Medium		No		No		No		Purple		No		Green		Dense		Moderate		Medium		Blue		Yes		Multiple Stem		Moderate		8		8		No		No		Moderate		No		None		Yes		Erect		None		No		Yes		Yes		Low		Low		Yes		Medium		Medium	Medium	100	Low	Medium	4.5	7.5	2700	4800	24	50	16	None	Intermediate	-33	Mid Spring	Contracting Only		Summer	Summer	No	Yes	No	Yes	No	Yes	Yes	No	No	No	1600000	Slow	Low	No	None	No	No	No		No	No	No	High	Low	Yes	No	Low	No	No
312			VAOV2						VAOV2		Vaccinium ovatum		California huckleberry		Vaccinium		Ericaceae		Perennial		Subshrub, Shrub		L48 (N), CAN (N)		Spring and Summer				None		Medium		No		No		No		White		No		Green		Moderate		Porous		Coarse		Purple		Yes		Multiple Stem		Slow		8		8		No		Yes		Long		No		None		Yes		Erect		None		Yes		Yes		No		None		Low		No		Medium		Medium	Medium	240	None	Low	5.5	7.5	1200	1700	20	45	16	None	Tolerant	7	Late Spring	No Known Source	Low	Summer	Summer	No	Yes	No	Yes	No	Yes	Yes	No	No	No	1200000	Slow	Low	No	Moderate	Yes	No	No		No	No	Yes	Medium	High	Yes	No	Low	No	No
313			VAOV2			VAOVS			VAOVS		Vaccinium ovatum var. saporosum				Vaccinium																																																																																																																														
314			VAPA						VAPA		Vaccinium parvifolium		red huckleberry		Vaccinium		Ericaceae		Perennial		Shrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		High		No		No		No		White		No		Green		Moderate		Porous		Fine		Red		Yes		Multiple Stem		Slow		12		12		No		No		Moderate		No		None		Yes		Erect		None		Yes		Yes		No		None		Low		Yes		High		Low	High	120	None	Low	5	7.5	1800	11000	16	50	16	None	Tolerant	-13	Spring	Contracting Only	Medium	Summer	Summer	No	Yes	No	Yes	No	Yes	Yes	No	No	No	2500000	Slow	Low	No	Slow	Yes	No	No		No	No	Yes	Medium	Low	Yes	No	Low	No	No
315			VASC						VASC		Vaccinium scoparium		grouse whortleberry		Vaccinium		Ericaceae		Perennial		Subshrub, Shrub		L48 (N), CAN (N)		Spring and Summer				None		High		Yes		Yes		Yes		Red		Yes		Green		Dense		Porous		Coarse		Red		Yes		Rhizomatous		Rapid		1		2		No		No		Moderate		No		None		Yes		Erect		None		Yes		Yes		No		None		None		Yes		Medium		Low	High	100	High	Medium	5	7	1200	19000	19	69	12	None	Tolerant	-13	Early Summer	Contracting Only	High	Summer	Fall	No	Yes	No	Yes	No	Yes	Yes	No	No	No	1000000	Rapid	High	No	Moderate	No	No	No		No	No	Yes	Low	Low	Yes	No	Low	No	No
316			VAUL						VAUL		Vaccinium uliginosum		bog blueberry		Vaccinium		Ericaceae		Perennial		Subshrub, Shrub		L48 (N), AK (N), CAN (N), GL (N), SPM (N)		Spring and Summer				None		Medium		No		No		No		Purple		Yes		Dark Green		Porous		Porous		Medium		Blue		Yes		Multiple Stem		Moderate		2		2		No		No		Moderate		No		None		Yes		Semi-Erect		None		No		Yes		No		None		None		Yes		Low		Low	High	90	None	Medium	4.5	5.7	2700	4800	18	45	12	None	Intermediate	-38	Early Summer	Routinely Available	Medium	Summer	Summer	No	Yes	No	Yes	No	Yes	Yes	No	No	No		Slow	Low	No	Slow	Yes	No	No		No	No	No	Medium	Low	Yes	No		No	No
317			VAUL			VAOC			VAOC		Vaccinium occidentale				Vaccinium																																																																																																																														
318			VAUL			VAULA			VAULA		Vaccinium uliginosum ssp. alpinum				Vaccinium																																																																																																																														
319			VAUL			VAULG			VAULG		Vaccinium uliginosum ssp. gaultherioides				Vaccinium																																																																																																																														
320			VAUL			VAULM			VAULM		Vaccinium uliginosum ssp. microphyllum				Vaccinium																																																																																																																														
321			VAUL			VAULO			VAULO		Vaccinium uliginosum ssp. occidentale				Vaccinium																																																																																																																														
322			VAUL			VAULP			VAULP		Vaccinium uliginosum ssp. pedris				Vaccinium																																																																																																																														
323			VAUL			VAULP2			VAULP2		Vaccinium uliginosum ssp. pubescens				Vaccinium																																																																																																																														
324			VAUL			VAULA2			VAULA2		Vaccinium uliginosum var. alpinum				Vaccinium																																																																																																																														
325			VAUL			VAULO2			VAULO2		Vaccinium uliginosum var. occidentale				Vaccinium																																																																																																																														
326			VAUL			VAULS			VAULS		Vaccinium uliginosum var. salicinum				Vaccinium																																																																																																																														
327			VAVI						VAVI		Vaccinium vitis-idaea		lingonberry		Vaccinium		Ericaceae		Perennial		Shrub, Subshrub		L48 (N), AK (N), CAN (N), GL (N), SPM (N)		Spring				None		Low		No		No		No		White		Yes		Green						Fine		Red		Yes		Rhizomatous		Moderate		1		0.5		No		Yes		Short		No		None		Yes				None		Yes		No		No		Low				Yes		Low		Medium	Medium	120	Low		4.5	6	320	1280	10	276	12	Low	Intolerant	-62	Summer	Routinely Available		Summer	Fall	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	9778		Medium	No	Moderate	No	No	No		No	No	No	Medium	Low	Yes	No		No	No
328			VIED						VIED		Viburnum edule		squashberry		Viburnum		Caprifoliaceae		Perennial		Shrub		L48 (N), AK (N), CAN (N), SPM (N)		Spring				None		High		No		Yes		No		White		Yes		Green						Coarse		Red		Yes		Thicket Forming		Rapid		12		2		No		No		Short		No		None		Yes		Erect		Slight		Yes		Yes		Yes		Low				Yes		Low		Medium	Medium	120	Low		5	7.3	320	1280	8	180	12	Low	Tolerant	-62	Late Spring	Routinely Available		Summer	Fall	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	8023	Moderate	Medium	No	Moderate	Yes	No	No		No	No	Yes	Medium	Low	Yes	No		No	No
329			VIED			VIPA11			VIPA11		Viburnum pauciflorum				Viburnum																																																																																																																														
330			VISA						VISA		Vicia sativa		garden vetch		Vicia		Fabaceae		Annual		Vine, Forb/herb		L48 (I), AK (I), HI (I), CAN (I), SPM (I)		Spring		Rapid		Medium		Low		No		No		No		Purple		Yes		Green		Porous		Porous		Coarse		Black		No		Single Stem		Rapid		5		4		No		No				No		Low		No		Climbing		Slight		No		Yes		Yes		Low		Low		Yes		Low		Medium	None	80	None	High	6	7	5120	20000			12	Low	Tolerant		Early Spring	No Known Source	High	Spring	Spring	No	No	No	No	No	No	Yes	No	No	No	39600	Moderate	High	No	None	No	No	Yes		No	No	No	Medium	Medium	Yes	No	High	No	No
331			ZIAQ						ZIAQ		Zizania aquatica		annual wildrice		Zizania		Poaceae		Annual		Graminoid		L48 (N), CAN (N)		Spring				None				No		No		No		Green		No		Green		Dense		Porous		Medium		Black		No		Bunch		Rapid				9.8		No		No				No		None		No		Erect		None		Yes		Yes		Yes		High		Low		No		None		Medium	Medium	95	None	High	6.4	7.4			30	50	6	Low	Intolerant	32	Indeterminate	Routinely Available	Medium	Summer	Fall	No	No	No	No	No	No	Yes	No	No	No	11340	Rapid	High	No	None	No	No	No		No	No	No	High	Medium	Yes	No	Medium	No	No
